Название,Описание проекта,Результат/Цель 
Система биометрической идентификации по лицу интегрированная с графовой базой данныъ,"Система позволяет не только регистрировать субъектов и осуществлять их идентификацию, но и проводить поиск с использованием аппарата сетевых графов для выявления связи между субъектами (кто, с кем и как часто ходит вместе, с кем его видели и т.п.)",Веб-сервис интегрированный с видеоархивом (развертывание в локальной сети УрФУ)
Система биометрической идентификации с поддержкой интеллектуального поиска по видеоврхиву,"Система должна позволять искать в видеоархиве задавая такие условия как:
   Эталонное изображение человека
 
 Пол
 
 Возраст
 
 Типы объектов в кадре
 
 Цвет объектов",Веб-сервис интегрированный с видеоархивом (развертывание в локальной сети УрФУ)
Система автоматической классификации жанра игры или фильма по ее саундтреку,Система должна классифицировать жанр игры или фильма при загрузке через-веб интерфейс ее саундтрека (или его части),Веб-сервис
Система предсказания курсовой стоимости акций и генерации торговых сигналов на основе анализа технических индикаторов,Система должна определить сигналы buy/hold/sell для акций и/или криптовалют на основе анализа технических индикаторов их стоимости,Веб-сервис с API и граф. интерфейсом
Система генерации текстов песен в жанре “рэп”,"Система должна генерировать тексты песен в жанре рэп (в идеале, в стиле указанного исполнителя).",Веб-сервис с граф. интерфейсом
SEO-продвижение сайта,"Реализовать полное SEO-продвижение сайта (полный набор бесплатных мероприятий по продвижению), включая составление семантического ядра и кластеров запросов, распределение кластеров запросов по структуре сайта, подбора и написания контента, изменение шаблона сайта и структуры страницы, система навигации – HTML, CSS, JavaScript, генерация карты сайта (sitemap.xml) и файла robot.txt, публикация материалов 
 + внешнее продвижение сайта (поиск площадок и размещение ссылок) и анализ поведенческих факторов*.",Продвижение по низкочастотным и среднечастотным запросам семантического ядра
SMM продвижение группы в социальной сети,"Реализовать комплексное продвижение группы в ВКонтакте, включая составление SMM-стратегии, графическое оформление групп, написание и реализация чек-листа создания сообщества, создание контент-стратегии, управление репутацией в социальных сетях, конкурсы в социальных сетях.",Раскрутка группы в ВКонтакте до 300 участников.
Оптимизация контекстной рекламы,"Оптимизация рекламной кампании в системах Яндекс.Директ и Google.Ads включая текстовые, графические и видеоформаты рекламы подбор и настройку ключевых слов и минус-слов, технологии ретаргетинга и подбора аудитории по параметрам за счет сравнения эффективности показа рекламы за различные периоды с различными настройками.",Оптимизированная рекламная кампания в системах Яндекс.Директ и Google.Ads.
Интерактивная карта Торгового центра,"3D-Интерактивная карта Торгового центра с веб-интерфейсом возможностью переключения этажей ТЦ, переключением масштаба и вывода дополнительной информации по магазинам ТЦ.",Веб-сервис с граф. интерфейсом
Система прогнозирования поступления в УрФУ (ИРИТ-РтФ) проходных баллов ЕГЭ по динамике предыдущих периодов,"Система должна строить графики проходного балла за предыдущие 2 года по всем направлениям ИРИТ-РтФ с учетом количества бюджетных мест, а также показывать приблизительный прогноз проходного балла по указанному количеству бюджетных мест.",Веб-сервис с граф. интерфейсом
Система хранения информации по проектам студентов,"Система должна иметь систему авторизации, возможность загрузки описания проектов, включая изображения (фотогалерею), загрузку других типов файлов, облако тегов, иерархический каталог проектов.",Веб-сервис с граф. интерфейсом
Система наведения турели,"Задача: Разработать а) систему оценки коружающей сцены; б) наведения турели на несанкционированный объект в сцене; в) соправождение несанкционированного объекта в сцене; г) Ilde режим, в котором осуществляется мониторинг сцены на предмет ""нарушителей"".",Программно-аппаратный комплекс
Распознавание тканей миокарда на МРТ снимке,"Дано изображение/ряд изображенний МРТ, содержащих в том числе ткани миокарда. Необходимо предложить методику сегментации изображения, выделяющей миокард с точностью не менее 85% (ROC) или алгоритм выделения границ стенки сердца (внешней и внутренней) с такой же точностью.",Веб-сервис с графическим интерфейсом
Парсинг многоцветного меша для подготовки к 3D печати.,"Дано: меш в формате .OBJ с наложенной тексурой на поверхности. Необходимо: Разбить весь объем меша на подмеши по поличеству цветов (или больше) в тексуре так, чтобы а) меши не прекрывались; б) объединение мешей давало исходное множество; в) часть границы сабмеша совпадала с частью границы исходного меша в месте, где цвет текстуры соответствует ""цвету"" сабмеша.",Програмно-аппаратный комплекс
Сегментация изображения аэроснимков,"Дано аэро/космоснимок. Необходимо выделить на нем регулярные структуры (например, задания или жилой массив)",Веб-сервис с графическим интерфейсом
Разработка сайта поддержки уличного искусства,"Проанализировать и переосмыслить опыт весеннего семестра, провести аналитические опросы стейкхолдеров проекта, сформулировать итоговую концепцию проекта, разработать и запустить сайт.",Веб-сервис
Знакомство с техническим зрением,"Развернуть (найти, скачать, установить, запустить) комплект программных средств по распознаванию лиц, используя готовые инструкции по установке. Потестировать работу приложения используя веб-камеру. Немного адаптировать программный продукт реализовав отрисовку координат объекта в кадре и определение его удаленности по размеру окна.",Программно-аппаратный комплекс
Балансирующий по типу сигвэя робот,"Сборка робота из конструктора ТРИК. Робот представляет двухколесную тележку, центр тяжести которой расположен выше оси колес. Робот должен уравновешивать себя точно так же, как Segway. Чтобы сбалансировать робота, двигатели должны противодействовать падению робота.",Робот-прототип на базе конструктора ТРИК
"Прибор, следящий за осанкой человека.","Изучение Ардуино. Снятие и интерпретация результатов с инерционно-измерительных модулей (гироскоп, акселерометр, магнетометр). Разработка конструкции прибора (где и как и какие датчики будут располагаться). Сохранение данных с датчиков в память Ардуино и отправка на персональный компьютер.",Программно-аппаратный комплекс на базе Arduino
"Сбор статистических данных о темах
 программ политических партий","Необходимо статистическими методами выделить темы, содержащиеся в программах политических партий различных стран. Определить как эти темы менялись с течением времени.",Статистика изменения тем программ политических партий различных стран за несколько лет.
"Создание системы, выделяющей строения и дорожную сеть на аерофотоснимках","Создать систему, в основе которой будет лежать нейронная сеть. На вход системе подается аерофотоснимок, а на выходе должен получится тот же снимок, но с выделенными границами строений и дорог.","Система, которая позволит выделять границы строений и дорог на аерофотоснимках."
Создание системы выявления аномалий на снимках компьютерной томографии,"Создать систему, которая с помощью нейронной сети будет определять наличие аномалий на снимках компьютерной томографии. На вход системе подается набор снимков КТ, а на выходе пользователь должен получить ответ есть ли аномалии в этом наборе снимков.","Система, которая позволит определить наличие аномалий на снимках КТ."
